Account,Date,daily_pnl,trades,avg_trade_size_usd,total_volume_usd,win_rate,long_ratio,pnl_per_trade,sentiment
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-22,3894.1050699999996,86,4279.456162790698,368033.23,0.46511627906976744,0.0,44.75982839080459,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-23,1418.55293,143,776.966013986014,111106.14,0.958041958041958,0.0,9.851062013888889,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-25,-30.7705,5,896.0260000000001,4480.13,0.0,0.0,-5.128416666666666,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-26,4416.8473,37,5180.734324324325,191687.17,0.918918918918919,0.0,116.23282368421053,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-27,312.130593,55,3759.7450909090912,206785.98,0.34545454545454546,0.0,5.573760589285714,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-28,2503.747235,45,3802.380666666667,171107.13,0.8666666666666667,0.0,54.4292877173913,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-29,8493.192736,109,3402.198532110092,370839.64,0.8899082568807339,0.0,77.21084305454546,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-01,8244.241409,137,3452.370072992701,472974.7,0.9343065693430657,0.0,59.74087977536232,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-02,1674.715167,24,2510.5745833333335,60253.79,0.875,0.0,66.98860668,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-03,8361.086245,79,4946.1478481012655,390745.68,0.6835443037974683,0.0,104.5135780625,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-04,26773.771643,287,5485.087665505226,1574220.16,0.8815331010452961,0.0,92.96448487152777,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-05,19791.026041,180,4676.724,841810.32,0.9055555555555556,0.0,109.34268530939227,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-06,6814.825139,82,3990.4636585365856,327218.02,0.8780487804878049,0.0,82.10632697590361,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-08,4271.886236,67,2740.047462686567,183583.18,0.8805970149253731,0.0,62.82185641176471,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,9949.501624,117,5625.459401709401,658178.75,0.8290598290598291,0.0,84.31781037288135,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-10,2482.9272,42,5237.472619047619,219973.85,0.6904761904761905,0.0,57.74249302325582,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-11,3588.179495,42,4202.844047619047,176519.44999999998,0.9285714285714286,0.0,83.44603476744186,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-12,3039.166,8,12880.10625,103040.85,0.875,0.0,337.68511111111115,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-14,3400.385378,17,11756.876470588235,199866.9,0.8823529411764706,0.0,188.91029877777777,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-15,5509.2545,35,7132.707714285714,249644.77,0.9142857142857143,0.0,153.03484722222223,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-17,73.61088,7,705.8557142857143,4940.99,0.8571428571428571,0.0,9.20136,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-18,1244.6384,6,8540.285,51241.71,0.8333333333333334,0.0,177.8054857142857,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-19,842.799493,10,18098.891,180988.91,0.5,0.0,76.61813572727273,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-20,2593.147623,59,2446.8210169491526,144362.44,0.9491525423728814,0.0,43.21912705,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-21,2097.182,23,4256.877391304348,97908.18,0.9565217391304348,0.0,87.38258333333333,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-24,1297.018477,19,4873.274210526315,92592.20999999999,0.7894736842105263,0.0,64.85092385,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-26,3195.3074,111,1572.7824324324324,174578.85,0.9819819819819819,0.0,28.529530357142857,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-27,-38.78086,11,1163.5172727272727,12798.689999999999,0.0,0.0,-3.231738333333333,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-28,227.85100799999998,10,1530.983,15309.83,0.9,0.0,20.713728,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-30,1100.57514,45,2246.753777777778,101103.92,0.9777777777777777,0.0,23.92554652173913,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-01,2507.122467,48,4260.021458333334,204481.03,0.8333333333333334,0.0,51.165764632653065,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-03,126.7884,2,3443.955,6887.91,0.5,0.0,42.2628,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-05,5296.433789,82,3723.111585365854,305295.15,0.9146341463414634,0.0,63.812455289156624,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-08,1218.4267,2,24387.135,48774.27,0.5,0.0,406.1422333333333,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-12,2237.798674,93,2815.611935483871,261851.91,0.7634408602150538,0.0,23.80636887234043,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-13,6621.451755,71,4651.021830985916,330222.55,0.8591549295774648,0.0,91.96460770833333,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-14,461.97292000000004,43,1637.1216279069768,70396.23,0.6976744186046512,0.0,10.499384545454546,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-15,3774.08872,38,6344.664210526315,241097.24,0.9210526315789473,0.0,96.77150564102564,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-16,2467.702221,46,3952.523695652174,181816.09,0.9347826086956522,0.0,52.504302574468085,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-17,2441.4683999999997,14,6968.785000000001,97562.99,0.9285714285714286,0.0,162.76456,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-23,360.32138,12,3366.369166666667,40396.43,0.3333333333333333,0.0,27.717029230769228,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-03,-13.844579999999999,7,47.215714285714284,330.51,0.14285714285714285,0.0,-1.7305724999999998,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-05,0.916,2,41.15,82.3,0.5,0.0,0.30533333333333335,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-07,0.0,1,47.59,47.59,0.0,0.0,0.0,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-08,1.56576,3,46.46,139.38,0.3333333333333333,0.0,0.39144,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-23,0.0,1,10.56,10.56,0.0,0.0,0.0,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-06-13,-1.40304,1,11.97,11.97,0.0,0.0,-0.70152,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-09,0.01574,7,16.731428571428573,117.12,0.42857142857142855,0.0,0.0019675,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-10,3634.56814,153,1401.238888888889,214389.55000000002,0.9607843137254902,0.0,23.601091818181818,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-11,1567.4026840000001,23,7024.881304347826,161572.27,0.34782608695652173,0.0,65.30844516666667,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-12,323.34897900000016,52,3563.27,185290.04,0.07692307692307693,0.0,6.100924132075475,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-13,8276.625256,26,4533.178461538461,117862.64,0.9615384615384616,0.0,306.5416761481481,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-14,-33.03286,36,1667.6102777777778,60033.97,0.027777777777777776,0.0,-0.89278,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-15,126.32543000000001,14,469.7357142857143,6576.3,0.9285714285714286,0.0,8.421695333333334,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-16,758.93225,10,5082.063,50820.630000000005,0.4,0.0,68.9938409090909,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-17,3146.294798,67,1978.6264179104478,132567.97,0.9552238805970149,0.0,46.26904114705882,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-18,2507.193252,115,1492.9519130434783,171689.47,0.9478260869565217,0.0,21.613734931034482,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-19,13027.2866,235,2927.3372765957447,687924.26,0.8723404255319149,0.0,55.20036694915254,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-20,3509.273443,219,1042.2276712328767,228247.86000000002,0.8995433789954338,0.0,15.951242922727273,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-21,24.404600000000002,8,1607.23625,12857.89,0.5,0.0,2.7116222222222226,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-23,657.693565,51,1163.6007843137254,59343.64,0.9803921568627451,0.0,12.647953173076925,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-02,3429.9583199999997,53,3870.1449056603774,205117.68,0.9433962264150944,0.0,63.51774666666666,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-07,11206.706221,232,2729.2947413793104,633196.38,0.9525862068965517,0.0,48.09745159227468,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-08,3710.36178,49,4625.799183673469,226664.16,0.9183673469387755,0.0,74.2072356,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-13,3944.7294389999997,50,4342.4238000000005,217121.19,0.94,0.0,77.34763605882353,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-14,104.68064,9,4696.798888888889,42271.19,0.4444444444444444,0.0,10.468064,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-18,-3249.381438,33,7728.827272727272,255051.3,0.21212121212121213,0.0,-95.57004229411764,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-20,16210.341667,409,1671.0059413202935,683441.43,0.9657701711491442,0.0,39.5374187,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-22,548.62199,35,2301.3917142857144,80548.71,0.9714285714285714,0.0,15.239499722222222,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-24,3540.716915,137,1282.6185401459854,175718.74,0.9416058394160584,0.0,25.657368949275362,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-27,2582.715893,128,1981.91671875,253685.34,0.953125,0.0,20.021053434108527,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-28,1150.332823,37,3275.1991891891894,121182.37000000001,0.918918918918919,0.0,30.27191639473684,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-29,45.381082,36,1330.8616666666667,47911.02,0.7777777777777778,0.0,1.2265157297297298,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-30,5049.257348,134,2169.4271641791042,290703.24,0.8208955223880597,0.0,37.40190628148148,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-31,6216.099195999999,172,2295.991569767442,394910.55,0.6976744186046512,0.0,35.93120922543352,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-01,9609.447365,148,4026.3325675675674,595897.22,0.7702702702702703,0.0,64.49293533557046,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-03,14982.681725,351,2940.937606837607,1032269.1,0.7492877492877493,0.0,42.56443671875,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-04,1985.815595,76,1605.050657894737,121983.85,0.9736842105263158,0.0,25.78981292207792,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-05,14.590934,20,2107.2529999999997,42145.06,0.75,0.0,0.694806380952381,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-06,2055.538866,73,4675.59698630137,341318.58,0.273972602739726,0.0,27.777552243243242,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-07,2648.450789,58,3997.0581034482757,231829.37,0.7068965517241379,0.0,44.88899642372881,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-08,235.47104,2,6882.275,13764.55,0.5,0.0,78.49034666666667,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-09,627.556755,71,1530.2932394366196,108650.81999999999,0.9295774647887324,0.0,8.716066041666666,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-10,990.674468,58,2647.6505172413795,153563.73,0.603448275862069,0.0,16.791092677966102,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-11,1053.5230999999999,5,7386.992,36934.96,0.6,0.0,175.58718333333331,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-12,-22303.603584,118,2953.0322881355933,348457.81,0.23728813559322035,0.0,-187.42524020168068,
